month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
1,04/01/2011,5899.9,6090.5,5899.9,6014,974845200,6014,1.019339311,1.933931084
1,04/01/2010,5412.9,5600.5,5145.7,5188.5,1185835600,5188.5,0.958543479,-4.145652053
1,02/01/2009,4434.2,4675.7,3956.7,4149.6,1381094300,4149.6,0.935817058,-6.418294168
1,02/01/2008,6456.9,6534.7,5338.7,5879.8,1649831500,5879.8,0.910622745,-8.937725534
1,02/01/2007,6220.8,6335.1,6130.2,6203.1,1774774900,6203.1,0.997154707,-0.284529321
1,03/01/2006,5618.8,5796.1,5618.8,5760.3,1966761500,5760.3,1.025183313,2.518331316
1,04/01/2005,4814.3,4879.5,4765.4,4852.3,1640281900,4852.3,1.007893152,0.789315165
1,02/01/2004,4476.9,4531.4,4390.7,4390.7,2000761400,4390.7,0.980745605,-1.925439478
1,02/01/2003,3940.4,4027.6,3391.5,3567.4,1788060800,3567.4,0.905339559,-9.466044056
1,02/01/2002,5217.4,5362.3,5052.8,5164.8,0,5164.8,0.98991835,-1.008164986
1,02/01/2001,6222.5,6360.3,6029.3,6297.5,0,6297.5,1.012053033,1.205303335
1,04/01/2000,6930.2,6930.2,6246.8,6268.5,0,6268.5,0.90451935,-9.548064991
1,04/01/1999,5909.4,6195.6,5736.8,5896,0,5896,0.997732426,-0.22675737
1,02/01/1998,5136,5458.5,4988.3,5458.5,0,5458.5,1.062792056,6.279205607
1,02/01/1997,4079.9,4275.8,4036.9,4275.8,0,4275.8,1.048015883,4.801588274
1,02/01/1996,3696,3767.4,3645.3,3759.3,0,3759.3,1.017126623,1.712662338
1,03/01/1995,3062.6,3084.4,2949.4,2991.6,0,2991.6,0.976817084,-2.318291648
1,04/01/1994,3427.2,3496.1,3355.3,3491.8,0,3491.8,1.018849206,1.884920635
1,04/01/1993,2841.8,2870.2,2727.6,2807.2,0,2807.2,0.987824618,-1.21753818
1,02/01/1992,2483.1,2580.2,2441.3,2571.2,0,2571.2,1.035479844,3.547984374
1,02/01/1991,2142.9,2182.1,2052.3,2170.3,0,2170.3,1.012786411,1.278641094
1,02/01/1990,2442.4,2479.4,2250.5,2337.3,0,2337.3,0.956968556,-4.303144448
1,03/01/1989,1783.9,2072.7,1782.4,2052.1,0,2052.1,1.15034475,15.03447503
1,04/01/1988,1729.8,1810.3,1719.5,1790.8,0,1790.8,1.035264192,3.526419239
1,02/01/1987,1677.6,1817,1674.5,1808.2,0,1808.2,1.077849309,7.784930854
1,02/01/1986,1412.2,1436.3,1365.7,1435,0,1435,1.016145022,1.614502195
1,02/01/1985,1230.3,1305.6,1199.6,1280.2,0,1280.2,1.040559213,4.05592132
2,01/02/2010,5188.5,5395.5,5033,5354.5,1360249000,5354.5,1.031993833,3.199383251
2,02/02/2009,4149.6,4334,3760.7,3830.1,1315004600,3830.1,0.923004627,-7.699537305
2,01/02/2008,5879.8,6104.5,5681.5,5884.3,1453034900,5884.3,1.000765332,0.076533215
2,01/02/2007,6203.1,6451.4,6166.2,6171.5,1763028400,6171.5,0.994905773,-0.509422708
2,01/02/2006,5760.3,5893.3,5681.9,5791.5,1974727800,5791.5,1.005416385,0.541638456
2,01/02/2005,4852.3,5077.8,4852.3,4968.5,1740831400,4968.5,1.023947406,2.394740638
2,02/02/2004,4390.7,4556.9,4357.4,4492.2,2115330500,4492.2,1.023117043,2.311704284
2,03/02/2003,3567.4,3747,3535.1,3655.6,1744394900,3655.6,1.024723889,2.472388855
2,01/02/2002,5164.8,5238,5015.5,5101,0,5101,0.98764715,-1.235285006
2,01/02/2001,6297.5,6309.9,5901.7,5917.9,0,5917.9,0.939722112,-6.027788805
2,01/02/2000,6268.5,6450.9,5972.7,6232.6,0,6232.6,0.994272952,-0.572704794
2,01/02/1999,5926,6319.8,5697.7,6175.1,0,6175.1,1.0420351,4.203509956
2,02/02/1998,5589.9,5821.8,5530.8,5767.3,0,5767.3,1.031735809,3.173580923
2,03/02/1997,4272.3,4362.4,4252.8,4308.3,0,4308.3,1.008426375,0.842637455
2,01/02/1996,3753.3,3791.6,3688.7,3727.6,0,3727.6,0.993152692,-0.68473077
2,01/02/1995,3001.8,3114.6,2998.2,3009.3,0,3009.3,1.002498501,0.24985009
2,01/02/1994,3511.4,3539.2,3243.4,3328.1,0,3328.1,0.947798599,-5.220140115
2,01/02/1993,2821.9,2900.1,2794.2,2868,0,2868,1.016336511,1.633651086
2,03/02/1992,2563.7,2572.8,2500.6,2562.1,0,2562.1,0.999375902,-0.062409798
2,01/02/1991,2168.5,2388.4,2155.6,2380.9,0,2380.9,1.09794789,9.794789025
2,01/02/1990,2346.5,2356.2,2208.4,2255.4,0,2255.4,0.96117622,-3.88237801
2,01/02/1989,2042.5,2106.1,1983.3,2002.4,0,2002.4,0.980367197,-1.963280294
2,01/02/1988,1797.4,1807.3,1687.5,1768.8,0,1768.8,0.984088127,-1.591187271
2,02/02/1987,1821.6,1995.3,1821.6,1979.2,0,1979.2,1.086517347,8.651734739
2,03/02/1986,1431.5,1555.2,1421.5,1543.9,0,1543.9,1.078519036,7.851903598
2,01/02/1985,1275.2,1300.3,1256.3,1260.8,0,1260.8,0.988707654,-1.12923463
3,01/03/2010,5354.5,5742.8,5354.5,5679.6,1137274200,5679.6,1.060715286,6.071528621
3,02/03/2009,3830.1,3992.4,3460.7,3926.1,1547110800,3926.1,1.02506462,2.506461972
